"ICD.Chapter";"State";"Year";"Deaths";"Population";"Crude.Rate"
"Certain infectious and parasitic diseases";"Alaska";2014;105;736732;143
"Certain infectious and parasitic diseases";"Alaska";2015;86;738432;116
"Certain infectious and parasitic diseases";"Arizona";1999;789;5023823;157
"Certain infectious and parasitic diseases";"Arizona";2000;779;5130632;152
"Certain infectious and parasitic diseases";"Arizona";2001;843;5273477;160
"Certain infectious and parasitic diseases";"Arizona";2002;967;5396255;179
"Certain infectious and parasitic diseases";"Arizona";2003;1097;5510364;199
"Certain infectious and parasitic diseases";"Arizona";2004;1056;5652404;187
"Certain infectious and parasitic diseases";"Arizona";2005;1097;5839077;188
"Certain infectious and parasitic diseases";"Arizona";2006;1281;6029141;212
"Certain infectious and parasitic diseases";"Arizona";2007;1194;6167681;194
"Certain infectious and parasitic diseases";"Arizona";2008;1183;6280362;188
"Certain infectious and parasitic diseases";"Arizona";2009;1311;6343154;207
"Certain infectious and parasitic diseases";"Arizona";2010;1249;6392017;195
"Certain infectious and parasitic diseases";"Arizona";2011;1052;6482505;162
"Certain infectious and parasitic diseases";"Arizona";2012;1148;6553255;175
"Certain infectious and parasitic diseases";"Arizona";2013;1169;6626624;176
"Certain infectious and parasitic diseases";"Arizona";2014;1181;6731484;175
"Certain infectious and parasitic diseases";"Arizona";2015;1230;6828065;180
"Certain infectious and parasitic diseases";"Arkansas";1999;702;2651860;265
"Certain infectious and parasitic diseases";"Arkansas";2000;636;2673400;238
"Certain infectious and parasitic diseases";"Arkansas";2001;719;2691571;267
"Certain infectious and parasitic diseases";"Arkansas";2002;771;2705927;285
"Certain infectious and parasitic diseases";"Arkansas";2003;768;2724816;282
"Certain infectious and parasitic diseases";"Arkansas";2004;739;2749686;269
"Certain infectious and parasitic diseases";"Arkansas";2005;784;2781097;282
"Certain infectious and parasitic diseases";"Arkansas";2006;747;2821761;265
"Certain infectious and parasitic diseases";"Arkansas";2007;719;2848650;252
"Certain infectious and parasitic diseases";"Arkansas";2008;773;2874554;269
"Certain infectious and parasitic diseases";"Arkansas";2009;786;2896843;271
"Certain infectious and parasitic diseases";"Arkansas";2010;731;2915918;251
"Certain infectious and parasitic diseases";"Arkansas";2011;778;2937979;265
"Certain infectious and parasitic diseases";"Arkansas";2012;785;2949131;266
"Certain infectious and parasitic diseases";"Arkansas";2013;832;2959373;281
"Certain infectious and parasitic diseases";"Arkansas";2014;811;2966369;273
"Certain infectious and parasitic diseases";"Arkansas";2015;782;2978204;263
"Certain infectious and parasitic diseases";"California";1999;4443;33499204;133
"Certain infectious and parasitic diseases";"California";2000;4137;33871648;122
"Certain infectious and parasitic diseases";"California";2001;4353;34479458;126
"Certain infectious and parasitic diseases";"California";2002;4559;34871843;131
"Certain infectious and parasitic diseases";"California";2003;4521;35253159;128
"Certain infectious and parasitic diseases";"California";2004;4799;35574576;135
"Certain infectious and parasitic diseases";"California";2005;4897;35827943;137
"Certain infectious and parasitic diseases";"California";2006;4960;36021202;138
"Certain infectious and parasitic diseases";"California";2007;4856;36250311;134
"Certain infectious and parasitic diseases";"California";2008;5085;36604337;139
"Certain infectious and parasitic diseases";"California";2009;5220;36961229;141
"Certain infectious and parasitic diseases";"California";2010;5090;37253956;137
"Certain infectious and parasitic diseases";"California";2011;5227;37691912;139
"Certain infectious and parasitic diseases";"California";2012;5314;38041430;140
"Certain infectious and parasitic diseases";"California";2013;5273;38332521;138
"Certain infectious and parasitic diseases";"California";2014;5145;38802500;133
"Certain infectious and parasitic diseases";"California";2015;5240;39144818;134
"Certain infectious and parasitic diseases";"Colorado";1999;533;4226018;126
"Certain infectious and parasitic diseases";"Colorado";2000;533;4301261;124
"Certain infectious and parasitic diseases";"Colorado";2001;568;4425687;128
"Certain infectious and parasitic diseases";"Colorado";2002;562;4490406;125
"Certain infectious and parasitic diseases";"Colorado";2003;676;4528732;149
"Certain infectious and parasitic diseases";"Colorado";2004;636;4575013;139
"Certain infectious and parasitic diseases";"Colorado";2005;620;4631888;134
"Certain infectious and parasitic diseases";"Colorado";2006;643;4720423;136
"Certain infectious and parasitic diseases";"Colorado";2007;641;4803868;133
"Certain infectious and parasitic diseases";"Colorado";2008;671;4889730;137
"Certain infectious and parasitic diseases";"Colorado";2009;748;4972195;150
"Certain infectious and parasitic diseases";"Colorado";2010;722;5029196;144
"Certain infectious and parasitic diseases";"Colorado";2011;781;5116796;153
"Certain infectious and parasitic diseases";"Colorado";2012;758;5187582;146
"Certain infectious and parasitic diseases";"Colorado";2013;766;5268367;145
"Certain infectious and parasitic diseases";"Colorado";2014;860;5355866;161
"Certain infectious and parasitic diseases";"Colorado";2015;827;5456574;152
"Certain infectious and parasitic diseases";"Connecticut";1999;845;3386401;250
"Certain infectious and parasitic diseases";"Connecticut";2000;908;3405565;267
"Certain infectious and parasitic diseases";"Connecticut";2001;897;3432835;261
"Certain infectious and parasitic diseases";"Connecticut";2002;866;3458749;250
"Certain infectious and parasitic diseases";"Connecticut";2003;983;3484336;282
"Certain infectious and parasitic diseases";"Connecticut";2004;920;3496094;263
"Certain infectious and parasitic diseases";"Connecticut";2005;1002;3506956;286
"Certain infectious and parasitic diseases";"Connecticut";2006;996;3517460;283
"Certain infectious and parasitic diseases";"Connecticut";2007;1055;3527270;299
"Certain infectious and parasitic diseases";"Connecticut";2008;987;3545579;278
"Certain infectious and parasitic diseases";"Connecticut";2009;1013;3561807;284
"Certain infectious and parasitic diseases";"Connecticut";2010;1002;3574097;280
"Certain infectious and parasitic diseases";"Connecticut";2011;1014;3580709;283
"Certain infectious and parasitic diseases";"Connecticut";2012;966;3590347;269
"Certain infectious and parasitic diseases";"Connecticut";2013;943;3596080;262
"Certain infectious and parasitic diseases";"Connecticut";2014;971;3596677;270
"Certain infectious and parasitic diseases";"Connecticut";2015;967;3590886;269
"Certain infectious and parasitic diseases";"Delaware";1999;209;774990;270
"Certain infectious and parasitic diseases";"Delaware";2000;255;783600;325
"Certain infectious and parasitic diseases";"Delaware";2001;234;795699;294
"Certain infectious and parasitic diseases";"Delaware";2002;262;806169;325
"Certain infectious and parasitic diseases";"Delaware";2003;247;818003;302
"Certain infectious and parasitic diseases";"Delaware";2004;242;830803;291
"Certain infectious and parasitic diseases";"Delaware";2005;251;845150;297
"Certain infectious and parasitic diseases";"Delaware";2006;222;859268;258
"Certain infectious and parasitic diseases";"Delaware";2007;231;871749;265
"Certain infectious and parasitic diseases";"Delaware";2008;276;883874;312
"Certain infectious and parasitic diseases";"Delaware";2009;257;891730;288
"Certain infectious and parasitic diseases";"Delaware";2010;250;897934;278
"Certain infectious and parasitic diseases";"Delaware";2011;248;907135;273
"Certain infectious and parasitic diseases";"Delaware";2012;237;917092;258
"Certain infectious and parasitic diseases";"Delaware";2013;265;925749;286
"Certain infectious and parasitic diseases";"Delaware";2014;240;935614;257
"Certain infectious and parasitic diseases";"Delaware";2015;251;945934;265
"Certain infectious and parasitic diseases";"District of Columbia";1999;457;570213;801
"Certain infectious and parasitic diseases";"District of Columbia";2000;434;572059;759
"Certain infectious and parasitic diseases";"District of Columbia";2001;374;574504;651
"Certain infectious and parasitic diseases";"District of Columbia";2002;403;573158;703
"Certain infectious and parasitic diseases";"District of Columbia";2003;405;568502;712
"Certain infectious and parasitic diseases";"District of Columbia";2004;395;567754;696
"Certain infectious and parasitic diseases";"District of Columbia";2005;399;567136;704
"Certain infectious and parasitic diseases";"District of Columbia";2006;386;570681;676
"Certain infectious and parasitic diseases";"District of Columbia";2007;351;574404;611
"Certain infectious and parasitic diseases";"District of Columbia";2008;329;580236;567
"Certain infectious and parasitic diseases";"District of Columbia";2009;302;592228;510
"Certain infectious and parasitic diseases";"District of Columbia";2010;258;601723;429
"Certain infectious and parasitic diseases";"District of Columbia";2011;259;617996;419
"Certain infectious and parasitic diseases";"District of Columbia";2012;234;632323;370
"Certain infectious and parasitic diseases";"District of Columbia";2013;215;646449;333
"Certain infectious and parasitic diseases";"District of Columbia";2014;218;658893;331
"Certain infectious and parasitic diseases";"District of Columbia";2015;233;672228;347
"Certain infectious and parasitic diseases";"Florida";1999;4104;15759421;260
"Certain infectious and parasitic diseases";"Florida";2000;4120;15982378;258
"Certain infectious and parasitic diseases";"Florida";2001;4357;16356966;266
"Certain infectious and parasitic diseases";"Florida";2002;4789;16689370;287
"Certain infectious and parasitic diseases";"Florida";2003;4973;17004085;292
"Certain infectious and parasitic diseases";"Florida";2004;5133;17415318;295
"Certain infectious and parasitic diseases";"Florida";2005;5062;17842038;284
"Certain infectious and parasitic diseases";"Florida";2006;5233;18166990;288
"Certain infectious and parasitic diseases";"Florida";2007;4864;18367842;265
"Certain infectious and parasitic diseases";"Florida";2008;4853;18527305;262
"Certain infectious and parasitic diseases";"Florida";2009;4844;18652644;260
"Certain infectious and parasitic diseases";"Florida";2010;4556;18801310;242
"Certain infectious and parasitic diseases";"Florida";2011;4669;19057542;245
"Certain infectious and parasitic diseases";"Florida";2012;4589;19317568;238
"Certain infectious and parasitic diseases";"Florida";2013;4704;19552860;241
"Certain infectious and parasitic diseases";"Florida";2014;4787;19893297;241
"Certain infectious and parasitic diseases";"Florida";2015;4916;20271272;243
"Certain infectious and parasitic diseases";"Georgia";1999;2264;8045965;281
"Certain infectious and parasitic diseases";"Georgia";2000;2238;8186453;273
"Certain infectious and parasitic diseases";"Georgia";2001;2354;8377038;281
"Certain infectious and parasitic diseases";"Georgia";2002;2386;8508256;280
"Certain infectious and parasitic diseases";"Georgia";2003;2420;8622793;281
"Certain infectious and parasitic diseases";"Georgia";2004;2458;8769252;280
"Certain infectious and parasitic diseases";"Georgia";2005;2426;8925922;272
"Certain infectious and parasitic diseases";"Georgia";2006;2538;9155813;277
"Certain infectious and parasitic diseases";"Georgia";2007;2535;9349988;271
"Certain infectious and parasitic diseases";"Georgia";2008;2483;9504843;261
"Certain infectious and parasitic diseases";"Georgia";2009;2590;9620846;269
"Certain infectious and parasitic diseases";"Georgia";2010;2438;9687653;252
"Certain infectious and parasitic diseases";"Georgia";2011;2436;9815210;248
"Certain infectious and parasitic diseases";"Georgia";2012;2505;9919945;253
"Certain infectious and parasitic diseases";"Georgia";2013;2561;9992167;256
"Certain infectious and parasitic diseases";"Georgia";2014;2445;10097343;242
"Certain infectious and parasitic diseases";"Georgia";2015;2506;10214860;245
"Certain infectious and parasitic diseases";"Hawaii";1999;250;1210300;207
"Certain infectious and parasitic diseases";"Hawaii";2000;216;1211537;178
"Certain infectious and parasitic diseases";"Hawaii";2001;241;1225948;197
"Certain infectious and parasitic diseases";"Hawaii";2002;227;1239613;183
"Certain infectious and parasitic diseases";"Hawaii";2003;229;1251154;183
"Certain infectious and parasitic diseases";"Hawaii";2004;286;1273569;225
"Certain infectious and parasitic diseases";"Hawaii";2005;253;1292729;196
"Certain infectious and parasitic diseases";"Hawaii";2006;267;1309731;204
"Certain infectious and parasitic diseases";"Hawaii";2007;249;1315675;189
"Certain infectious and parasitic diseases";"Hawaii";2008;249;1332213;187
"Certain infectious and parasitic diseases";"Hawaii";2009;216;1346717;160
"Certain infectious and parasitic diseases";"Hawaii";2010;232;1360301;171
"Certain infectious and parasitic diseases";"Hawaii";2011;214;1374810;156
"Certain infectious and parasitic diseases";"Hawaii";2012;200;1392313;144
"Certain infectious and parasitic diseases";"Hawaii";2013;234;1404054;167
"Certain infectious and parasitic diseases";"Hawaii";2014;230;1419561;162
"Certain infectious and parasitic diseases";"Hawaii";2015;228;1431603;159
"Certain infectious and parasitic diseases";"Idaho";1999;125;1275674;98
"Certain infectious and parasitic diseases";"Idaho";2000;123;1293953;95
"Certain infectious and parasitic diseases";"Idaho";2001;115;1319962;87
"Certain infectious and parasitic diseases";"Idaho";2002;137;1340372;102
"Certain infectious and parasitic diseases";"Idaho";2003;124;1363380;91
"Certain infectious and parasitic diseases";"Idaho";2004;118;1391802;85
"Certain infectious and parasitic diseases";"Idaho";2005;138;1428241;97
"Certain infectious and parasitic diseases";"Idaho";2006;171;1468669;116
"Certain infectious and parasitic diseases";"Idaho";2007;150;1505105;100
"Certain infectious and parasitic diseases";"Idaho";2008;167;1534320;109
"Certain infectious and parasitic diseases";"Idaho";2009;165;1554439;106
"Certain infectious and parasitic diseases";"Idaho";2010;174;1567582;111
"Certain infectious and parasitic diseases";"Idaho";2011;198;1584985;125
"Certain infectious and parasitic diseases";"Idaho";2012;203;1595728;127
"Certain infectious and parasitic diseases";"Idaho";2013;227;1612136;141
"Certain infectious and parasitic diseases";"Idaho";2014;221;1634464;135
"Certain infectious and parasitic diseases";"Idaho";2015;214;1654930;129
"Certain infectious and parasitic diseases";"Illinois";1999;2894;12359020;234
"Certain infectious and parasitic diseases";"Illinois";2000;2836;12419293;228
"Certain infectious and parasitic diseases";"Illinois";2001;2971;12488445;238
"Certain infectious and parasitic diseases";"Illinois";2002;3129;12525556;250
"Certain infectious and parasitic diseases";"Illinois";2003;3127;12556006;249
"Certain infectious and parasitic diseases";"Illinois";2004;3084;12589773;245
"Certain infectious and parasitic diseases";"Illinois";2005;3096;12609903;246
"Certain infectious and parasitic diseases";"Illinois";2006;3091;12643955;244
"Certain infectious and parasitic diseases";"Illinois";2007;3200;12695866;252
"Certain infectious and parasitic diseases";"Illinois";2008;3081;12747038;242
"Certain infectious and parasitic diseases";"Illinois";2009;3170;12796778;248
"Certain infectious and parasitic diseases";"Illinois";2010;3117;12830632;243
"Certain infectious and parasitic diseases";"Illinois";2011;2993;12869257;233
"Certain infectious and parasitic diseases";"Illinois";2012;2765;12875255;215
"Certain infectious and parasitic diseases";"Illinois";2013;2771;12882135;215
"Certain infectious and parasitic diseases";"Illinois";2014;2869;12880580;223
"Certain infectious and parasitic diseases";"Illinois";2015;2887;12859995;224
"Certain infectious and parasitic diseases";"Indiana";1999;1174;6044969;194
"Certain infectious and parasitic diseases";"Indiana";2000;1177;6080485;194
"Certain infectious and parasitic diseases";"Indiana";2001;1164;6127760;190
"Certain infectious and parasitic diseases";"Indiana";2002;1220;6155967;198
"Certain infectious and parasitic diseases";"Indiana";2003;1253;6196638;202
"Certain infectious and parasitic diseases";"Indiana";2004;1232;6233007;198
"Certain infectious and parasitic diseases";"Indiana";2005;1298;6278616;207
"Certain infectious and parasitic diseases";"Indiana";2006;1340;6332669;212
"Certain infectious and parasitic diseases";"Indiana";2007;1318;6379599;207
"Certain infectious and parasitic diseases";"Indiana";2008;1386;6424806;216
"Certain infectious and parasitic diseases";"Indiana";2009;1406;6459325;218
"Certain infectious and parasitic diseases";"Indiana";2010;1442;6483802;222
"Certain infectious and parasitic diseases";"Indiana";2011;1528;6516922;234
"Certain infectious and parasitic diseases";"Indiana";2012;1587;6537334;243
"Certain infectious and parasitic diseases";"Indiana";2013;1635;6570902;249
"Certain infectious and parasitic diseases";"Indiana";2014;1613;6596855;245
"Certain infectious and parasitic diseases";"Indiana";2015;1756;6619680;265
"Certain infectious and parasitic diseases";"Iowa";1999;382;2917634;131
"Certain infectious and parasitic diseases";"Iowa";2000;371;2926324;127
"Certain infectious and parasitic diseases";"Iowa";2001;398;2931997;136
"Certain infectious and parasitic diseases";"Iowa";2002;382;2934234;130
"Certain infectious and parasitic diseases";"Iowa";2003;362;2941999;123
"Certain infectious and parasitic diseases";"Iowa";2004;388;2953635;131
"Certain infectious and parasitic diseases";"Iowa";2005;360;2964454;121
"Certain infectious and parasitic diseases";"Iowa";2006;427;2982644;143
"Certain infectious and parasitic diseases";"Iowa";2007;435;2999212;145
"Certain infectious and parasitic diseases";"Iowa";2008;493;3016734;163
"Certain infectious and parasitic diseases";"Iowa";2009;462;3032870;152
"Certain infectious and parasitic diseases";"Iowa";2010;446;3046355;146
"Certain infectious and parasitic diseases";"Iowa";2011;465;3062309;152
"Certain infectious and parasitic diseases";"Iowa";2012;514;3074186;167
"Certain infectious and parasitic diseases";"Iowa";2013;516;3090416;167
"Certain infectious and parasitic diseases";"Iowa";2014;499;3107126;161
"Certain infectious and parasitic diseases";"Iowa";2015;522;3123899;167
"Certain infectious and parasitic diseases";"Kansas";1999;430;2678338;161
"Certain infectious and parasitic diseases";"Kansas";2000;400;2688418;149
"Certain infectious and parasitic diseases";"Kansas";2001;433;2702162;160
"Certain infectious and parasitic diseases";"Kansas";2002;475;2713535;175
"Certain infectious and parasitic diseases";"Kansas";2003;495;2723004;182
"Certain infectious and parasitic diseases";"Kansas";2004;433;2734373;158
"Certain infectious and parasitic diseases";"Kansas";2005;437;2745299;159
"Certain infectious and parasitic diseases";"Kansas";2006;485;2762931;176
"Certain infectious and parasitic diseases";"Kansas";2007;473;2783785;170
"Certain infectious and parasitic diseases";"Kansas";2008;560;2808076;199
"Certain infectious and parasitic diseases";"Kansas";2009;610;2832704;215
"Certain infectious and parasitic diseases";"Kansas";2010;542;2853118;190
"Certain infectious and parasitic diseases";"Kansas";2011;572;2871238;199
"Certain infectious and parasitic diseases";"Kansas";2012;596;2885905;207
"Certain infectious and parasitic diseases";"Kansas";2013;624;2893957;216
"Certain infectious and parasitic diseases";"Kansas";2014;578;2904021;199
"Certain infectious and parasitic diseases";"Kansas";2015;627;2911641;215
"Certain infectious and parasitic diseases";"Kentucky";1999;838;4018053;209
"Certain infectious and parasitic diseases";"Kentucky";2000;831;4041769;206
"Certain infectious and parasitic diseases";"Kentucky";2001;873;4068132;215
"Certain infectious and parasitic diseases";"Kentucky";2002;903;4089875;221
"Certain infectious and parasitic diseases";"Kentucky";2003;835;4117170;203
"Certain infectious and parasitic diseases";"Kentucky";2004;879;4146101;212
"Certain infectious and parasitic diseases";"Kentucky";2005;875;4182742;209
"Certain infectious and parasitic diseases";"Kentucky";2006;964;4219239;228
"Certain infectious and parasitic diseases";"Kentucky";2007;988;4256672;232
"Certain infectious and parasitic diseases";"Kentucky";2008;1059;4289878;247
"Certain infectious and parasitic diseases";"Kentucky";2009;1125;4317074;261
"Certain infectious and parasitic diseases";"Kentucky";2010;1098;4339367;253
"Certain infectious and parasitic diseases";"Kentucky";2011;1098;4369356;251
"Certain infectious and parasitic diseases";"Kentucky";2012;1088;4380415;248
"Certain infectious and parasitic diseases";"Kentucky";2013;1129;4395295;257
"Certain infectious and parasitic diseases";"Kentucky";2014;1242;4413457;281
"Certain infectious and parasitic diseases";"Kentucky";2015;1370;4425092;310
"Certain infectious and parasitic diseases";"Louisiana";1999;1385;4460811;310
"Certain infectious and parasitic diseases";"Louisiana";2000;1436;4468976;321
"Certain infectious and parasitic diseases";"Louisiana";2001;1426;4477875;318
"Certain infectious and parasitic diseases";"Louisiana";2002;1487;4497267;331
"Certain infectious and parasitic diseases";"Louisiana";2003;1500;4521042;332
"Certain infectious and parasitic diseases";"Louisiana";2004;1540;4552238;338
"Certain infectious and parasitic diseases";"Louisiana";2005;1608;4576628;351
"Certain infectious and parasitic diseases";"Louisiana";2006;1401;4302665;326
"Certain infectious and parasitic diseases";"Louisiana";2007;1480;4375581;338
"Certain infectious and parasitic diseases";"Louisiana";2008;1463;4435586;330
"Certain infectious and parasitic diseases";"Louisiana";2009;1459;4491648;325
"Certain infectious and parasitic diseases";"Louisiana";2010;1336;4533372;295
"Certain infectious and parasitic diseases";"Louisiana";2011;1361;4574836;297
"Certain infectious and parasitic diseases";"Louisiana";2012;1453;4601893;316
"Certain infectious and parasitic diseases";"Louisiana";2013;1401;4625470;303
"Certain infectious and parasitic diseases";"Louisiana";2014;1512;4649676;325
"Certain infectious and parasitic diseases";"Louisiana";2015;1575;4670724;337
"Certain infectious and parasitic diseases";"Maine";1999;189;1266808;149
"Certain infectious and parasitic diseases";"Maine";2000;188;1274923;147
"Certain infectious and parasitic diseases";"Maine";2001;185;1285692;144
"Certain infectious and parasitic diseases";"Maine";2002;223;1295960;172
"Certain infectious and parasitic diseases";"Maine";2003;228;1306513;175
"Certain infectious and parasitic diseases";"Maine";2004;299;1313688;228
"Certain infectious and parasitic diseases";"Maine";2005;296;1318787;224
"Certain infectious and parasitic diseases";"Maine";2006;291;1323619;220
"Certain infectious and parasitic diseases";"Maine";2007;285;1327040;215
"Certain infectious and parasitic diseases";"Maine";2008;266;1330509;200
"Certain infectious and parasitic diseases";"Maine";2009;288;1329590;217
"Certain infectious and parasitic diseases";"Maine";2010;276;1328361;208
"Certain infectious and parasitic diseases";"Maine";2011;245;1328188;184
"Certain infectious and parasitic diseases";"Maine";2012;222;1329192;167
"Certain infectious and parasitic diseases";"Maine";2013;289;1328302;218
"Certain infectious and parasitic diseases";"Maine";2014;267;1330089;201
"Certain infectious and parasitic diseases";"Maine";2015;275;1329328;207
"Certain infectious and parasitic diseases";"Maryland";1999;1886;5254509;359
"Certain infectious and parasitic diseases";"Maryland";2000;1779;5296486;336
"Certain infectious and parasitic diseases";"Maryland";2001;1839;5374691;342
"Certain infectious and parasitic diseases";"Maryland";2002;1962;5440389;361
"Certain infectious and parasitic diseases";"Maryland";2003;2076;5496269;378
"Certain infectious and parasitic diseases";"Maryland";2004;1972;5546935;356
"Certain infectious and parasitic diseases";"Maryland";2005;2017;5592379;361
"Certain infectious and parasitic diseases";"Maryland";2006;1902;5627367;338
"Certain infectious and parasitic diseases";"Maryland";2007;1820;5653408;322
"Certain infectious and parasitic diseases";"Maryland";2008;1924;5684965;338
"Certain infectious and parasitic diseases";"Maryland";2009;1967;5730388;343
"Certain infectious and parasitic diseases";"Maryland";2010;1693;5773552;293
"Certain infectious and parasitic diseases";"Maryland";2011;1572;5828289;270
"Certain infectious and parasitic diseases";"Maryland";2012;1665;5884563;283
"Certain infectious and parasitic diseases";"Maryland";2013;1726;5928814;291
"Certain infectious and parasitic diseases";"Maryland";2014;1732;5976407;290
"Certain infectious and parasitic diseases";"Maryland";2015;1582;6006401;263
"Certain infectious and parasitic diseases";"Massachusetts";1999;1471;6317345;233
"Certain infectious and parasitic diseases";"Massachusetts";2000;1406;6349097;221
"Certain infectious and parasitic diseases";"Massachusetts";2001;1488;6397634;233
"Certain infectious and parasitic diseases";"Massachusetts";2002;1534;6417206;239
"Certain infectious and parasitic diseases";"Massachusetts";2003;1552;6422565;242
"Certain infectious and parasitic diseases";"Massachusetts";2004;1543;6412281;241
"Certain infectious and parasitic diseases";"Massachusetts";2005;1598;6403290;250
"Certain infectious and parasitic diseases";"Massachusetts";2006;1556;6410084;243
"Certain infectious and parasitic diseases";"Massachusetts";2007;1496;6431559;233
"Certain infectious and parasitic diseases";"Massachusetts";2008;1476;6468967;228
"Certain infectious and parasitic diseases";"Massachusetts";2009;1496;6517613;230
"Certain infectious and parasitic diseases";"Massachusetts";2010;1551;6547629;237
"Certain infectious and parasitic diseases";"Massachusetts";2011;1495;6587536;227
"Certain infectious and parasitic diseases";"Massachusetts";2012;1451;6646144;218
"Certain infectious and parasitic diseases";"Massachusetts";2013;1504;6692824;225
"Certain infectious and parasitic diseases";"Massachusetts";2014;1453;6745408;215
"Certain infectious and parasitic diseases";"Massachusetts";2015;1595;6794422;235
"Certain infectious and parasitic diseases";"Michigan";1999;1841;9897116;186
"Certain infectious and parasitic diseases";"Michigan";2000;1705;9938444;172
"Certain infectious and parasitic diseases";"Michigan";2001;1551;9991120;155
"Certain infectious and parasitic diseases";"Michigan";2002;1681;10015710;168
"Certain infectious and parasitic diseases";"Michigan";2003;1603;10041152;160
"Certain infectious and parasitic diseases";"Michigan";2004;1569;10055315;156
"Certain infectious and parasitic diseases";"Michigan";2005;1777;10051137;177
"Certain infectious and parasitic diseases";"Michigan";2006;1737;10036081;173
"Certain infectious and parasitic diseases";"Michigan";2007;1769;10001284;177
"Certain infectious and parasitic diseases";"Michigan";2008;1902;9946889;191
"Certain infectious and parasitic diseases";"Michigan";2009;1867;9901591;189
"Certain infectious and parasitic diseases";"Michigan";2010;1872;9883640;189
"Certain infectious and parasitic diseases";"Michigan";2011;1899;9876187;192
"Certain infectious and parasitic diseases";"Michigan";2012;2028;9883360;205
"Certain infectious and parasitic diseases";"Michigan";2013;2124;9895622;215
"Certain infectious and parasitic diseases";"Michigan";2014;2003;9909877;202
"Certain infectious and parasitic diseases";"Michigan";2015;2063;9922576;208
"Certain infectious and parasitic diseases";"Minnesota";1999;495;4873481;102
"Certain infectious and parasitic diseases";"Minnesota";2000;466;4919479;95
"Certain infectious and parasitic diseases";"Minnesota";2001;457;4982796;92
"Certain infectious and parasitic diseases";"Minnesota";2002;538;5018935;107
"Certain infectious and parasitic diseases";"Minnesota";2003;554;5053572;110
"Certain infectious and parasitic diseases";"Minnesota";2004;517;5087713;102
"Certain infectious and parasitic diseases";"Minnesota";2005;542;5119598;106
"Certain infectious and parasitic diseases";"Minnesota";2006;566;5163555;110
"Certain infectious and parasitic diseases";"Minnesota";2007;641;5207203;123
"Certain infectious and parasitic diseases";"Minnesota";2008;638;5247018;122
"Certain infectious and parasitic diseases";"Minnesota";2009;656;5281203;124
"Certain infectious and parasitic diseases";"Minnesota";2010;678;5303925;128
"Certain infectious and parasitic diseases";"Minnesota";2011;706;5344861;132
"Certain infectious and parasitic diseases";"Minnesota";2012;695;5379139;129
"Certain infectious and parasitic diseases";"Minnesota";2013;740;5420380;137
"Certain infectious and parasitic diseases";"Minnesota";2014;783;5457173;143
"Certain infectious and parasitic diseases";"Minnesota";2015;763;5489594;139
"Certain infectious and parasitic diseases";"Mississippi";1999;721;2828408;255
"Certain infectious and parasitic diseases";"Mississippi";2000;816;2844658;287
"Certain infectious and parasitic diseases";"Mississippi";2001;833;2852994;292
"Certain infectious and parasitic diseases";"Mississippi";2002;857;2858681;300
"Certain infectious and parasitic diseases";"Mississippi";2003;875;2868312;305
"Certain infectious and parasitic diseases";"Mississippi";2004;827;2889010;286
